Si (Silicon) - Palik

wavelength (microns), Im(eps)
0.1033, 0.494982
0.103275, 0.494691
0.103169, 0.493459
0.103064, 0.492228
0.102959, 0.490996
0.102854, 0.489765
0.102749, 0.488533
0.102645, 0.487301
0.10254, 0.48607
0.102436, 0.484838
0.102332, 0.483606
0.102229, 0.482375
0.102125, 0.481143
0.102022, 0.479912
0.101919, 0.47868
0.101816, 0.477448
0.101714, 0.476217
0.101611, 0.474985
0.101509, 0.473753
0.101407, 0.472522
0.101305, 0.47129
0.101204, 0.470058
0.1012, 0.470016
0.101102, 0.46888
0.101001, 0.467704
0.1009, 0.466528
0.100799, 0.465352
0.100699, 0.464176
0.100598, 0.462999
