Si (Silicon) - Palik

wavelength (microns), Re(eps)
0.15451, -3.73515
0.154274, -3.71753
0.154038, -3.69991
0.153804, -3.68229
0.153569, -3.66468
0.153336, -3.64706
0.153103, -3.62944
0.152872, -3.61183
0.15264, -3.59421
0.15241, -3.57659
0.15218, -3.55897
0.151951, -3.54136
0.151722, -3.52374
0.151494, -3.50612
0.151267, -3.4885
0.151041, -3.47089
0.150815, -3.45327
0.15059, -3.43565
0.150366, -3.41804
0.1503, -3.41286
0.150142, -3.40338
0.149919, -3.38995
0.149697, -3.37653
0.149475, -3.3631
0.149254, -3.34967
0.149033, -3.33624
0.148814, -3.32282
0.148594, -3.30939
0.148376, -3.29596
0.148158, -3.28254
0.147941, -3.26911
0.147724, -3.25568
0.147508, -3.24226
0.147293, -3.22883
0.147078, -3.2154
0.146864, -3.20198
0.146651, -3.18855
0.146438, -3.17512
0.146226, -3.16169
0.146014, -3.14827
0.1459, -3.141
0.145803, -3.1343
0.145593, -3.11969
0.145383, -3.10509
0.145174, -3.09048
0.144965, -3.07588
0.144757, -3.06127
0.14455, -3.04666
0.144343, -3.03206
0.144137, -3.01745
0.143932, -3.00284
0.143727, -2.98824
0.143522, -2.97363
0.143318, -2.95903
0.143115, -2.94442
0.142912, -2.92981
0.14271, -2.91521
0.142509, -2.9006
0.142308, -2.886
0.142107, -2.87139
0.141907, -2.85678
0.141708, -2.84218
0.1417, -2.84158
0.141509, -2.83108
0.141311, -2.82013
0.141114, -2.80918
0.140917, -2.79823
0.14072, -2.78728
0.140524, -2.77634
0.140329, -2.76539
0.140134, -2.75444
0.139939, -2.74349
0.139746, -2.73254
0.139552, -2.72159
0.13936, -2.71064
0.139168, -2.69969
0.138976, -2.68875
0.138785, -2.6778
0.138594, -2.66685
0.138404, -2.6559
0.138214, -2.64495
0.138025, -2.634
0.137837, -2.62305
0.1378, -2.62091
0.137649, -2.6114
0.137461, -2.59957
0.137274, -2.58774
0.137088, -2.57592
0.136902, -2.56409
0.136716, -2.55226
0.136531, -2.54043
0.136347, -2.5286
0.136163, -2.51678
0.135979, -2.50495
0.135796, -2.49312
0.135614, -2.48129
0.135432, -2.46947
0.13525, -2.45764
0.135069, -2.44581
0.134889, -2.43398
0.134709, -2.42216
0.134529, -2.41033
0.13435, -2.3985
0.134171, -2.38667
0.134, -2.3753
0.133993, -2.37491
0.133816, -2.36474
0.133638, -2.35457
0.133462, -2.3444
0.133285, -2.33423
0.133109, -2.32406
0.132934, -2.31388
0.132759, -2.30371
0.132585, -2.29354
0.132411, -2.28337
0.132237, -2.2732
0.132064, -2.26303
0.131892, -2.25286
0.131719, -2.24269
0.131548, -2.23252
0.131376, -2.22235
0.131206, -2.21218
0.131035, -2.202
0.130865, -2.19183
0.130696, -2.18166
0.130527, -2.17149
0.1305, -2.16988
0.130358, -2.16281
0.13019, -2.15441
0.130022, -2.14601
0.129855, -2.13761
0.129688, -2.12921
0.129522, -2.12081
0.129356, -2.11241
0.12919, -2.10401
0.129025, -2.09561
0.12886, -2.08722
0.128696, -2.07882
0.128532, -2.07042
0.128368, -2.06202
0.128205, -2.05362
0.128042, -2.04522
0.12788, -2.03682
0.127718, -2.02842
0.127557, -2.02002
0.127396, -2.01162
0.127235, -2.00322
0.1272, -2.00138
0.127075, -1.99411
0.126915, -1.9848
0.126756, -1.97549
0.126597, -1.96618
0.126438, -1.95687
0.12628, -1.94756
0.126122, -1.93825
0.125965, -1.92894
0.125808, -1.91962
0.125651, -1.91031
0.125495, -1.901
0.125339, -1.89169
0.125183, -1.88238
0.125028, -1.87307
0.124873, -1.86376
0.124719, -1.85445
0.124565, -1.84514
0.124412, -1.83583
0.124258, -1.82652
0.124106, -1.81721
0.124, -1.81076
0.123953, -1.80839
0.123801, -1.80069
0.123649, -1.79299
0.123498, -1.78529
0.123347, -1.77759
0.123196, -1.76989
0.123046, -1.76218
0.122896, -1.75448
0.122747, -1.74678
0.122598, -1.73908
0.122449, -1.73138
0.122301, -1.72368
0.122153, -1.71597
0.122005, -1.70827
0.121858, -1.70057
0.121711, -1.69287
0.121564, -1.68517
0.121418, -1.67747
0.121272, -1.66977
0.121126, -1.66206
0.121, -1.65538
0.120981, -1.65441
0.120836, -1.64711
0.120692, -1.63981
0.120547, -1.6325
0.120404, -1.6252
0.12026, -1.6179
0.120117, -1.61059
0.119974, -1.60329
0.119832, -1.59598
0.119689, -1.58868
0.119548, -1.58138
0.119406, -1.57407
0.119265, -1.56677
0.119124, -1.55946
0.118984, -1.55216
0.118844, -1.54486
0.118704, -1.53755
0.118564, -1.53025
0.118425, -1.52294
0.118286, -1.51564
0.118148, -1.50834
0.1181, -1.5058
0.11801, -1.50206
0.117872, -1.49632
0.117734, -1.49059
0.117597, -1.48485
0.11746, -1.47912
0.117324, -1.47339
0.117188, -1.46765
0.117052, -1.46192
0.116916, -1.45618
0.116781, -1.45045
0.116646, -1.44471
0.116511, -1.43898
0.116377, -1.43324
0.116243, -1.42751
0.116109, -1.42178
0.115975, -1.41604
0.115842, -1.41031
0.115709, -1.40457
0.115577, -1.39884
0.115445, -1.3931
0.115313, -1.38737
0.1153, -1.38682
0.115181, -1.38166
0.11505, -1.37595
0.114919, -1.37025
0.114788, -1.36454
0.114658, -1.35884
0.114527, -1.35313
0.114398, -1.34743
0.114268, -1.34172
0.114139, -1.33602
0.11401, -1.33031
0.113881, -1.3246
0.113753, -1.3189
0.113625, -1.31319
0.113497, -1.30749
0.113369, -1.30178
0.113242, -1.29608
0.113115, -1.29037
0.112989, -1.28466
0.112862, -1.27896
0.112736, -1.27325
0.1127, -1.27162
0.11261, -1.26773
0.112485, -1.26227
0.11236, -1.25682
0.112235, -1.25136
0.11211, -1.24591
0.111985, -1.24045
0.111861, -1.235
0.111737, -1.22954
0.111614, -1.22409
0.111491, -1.21863
0.111368, -1.21318
0.111245, -1.20772
0.111122, -1.20227
0.111, -1.19681
0.110878, -1.19136
0.110756, -1.1859
0.110635, -1.18045
0.110514, -1.17499
0.110393, -1.16954
0.110272, -1.16408
0.1102, -1.16081
0.110152, -1.15872
0.110032, -1.1535
0.109912, -1.14829
0.109792, -1.14307
0.109673, -1.13785
0.109554, -1.13263
0.109435, -1.12741
0.109317, -1.12219
0.109198, -1.11698
0.10908, -1.11176
0.108962, -1.10654
0.108845, -1.10132
0.108728, -1.0961
0.108611, -1.09089
0.108494, -1.08567
0.108377, -1.08045
0.108261, -1.07523
0.108145, -1.07001
0.108029, -1.06479
0.107914, -1.05958
0.1078, -1.05443
0.107798, -1.05436
0.107683, -1.04939
0.107569, -1.04442
0.107454, -1.03945
0.10734, -1.03448
0.107226, -1.02951
0.107112, -1.02455
0.106998, -1.01958
0.106885, -1.01461
0.106772, -1.00964
0.106659, -1.00467
0.106546, -0.999698
0.106434, -0.994729
0.106322, -0.989759
0.10621, -0.98479
0.106098, -0.979821
0.105987, -0.974851
0.105876, -0.969882
0.105765, -0.964913
0.105654, -0.959943
0.105543, -0.954974
0.1055, -0.953019
0.105433, -0.950288
0.105323, -0.945787
0.105213, -0.941285
0.105104, -0.936783
0.104994, -0.932282
0.104885, -0.92778
0.104776, -0.923279
0.104668, -0.918777
0.104559, -0.914276
0.104451, -0.909774
0.104343, -0.905272
0.104235, -0.900771
0.104128, -0.896269
0.10402, -0.891768
0.103913, -0.887266
0.103806, -0.882765
0.1037, -0.878263
0.103593, -0.873761
0.103487, -0.86926
0.103381, -0.864758
0.1033, -0.86132
0.103275, -0.86034
0.103169, -0.856189
0.103064, -0.852039
0.102959, -0.847888
0.102854, -0.843738
0.102749, -0.839588
0.102645, -0.835437
0.10254, -0.831287
0.102436, -0.827136
0.102332, -0.822986
0.102229, -0.818835
0.102125, -0.814685
0.102022, -0.810535
0.101919, -0.806384
0.101816, -0.802234
0.101714, -0.798083
0.101611, -0.793933
0.101509, -0.789782
0.101407, -0.785632
0.101305, -0.781482
0.101204, -0.777331
0.1012, -0.777188
